,name,price
222,Miss Minutes Yellow - Official Marvel T-shirt,Rs 399.00 
223,Official Classic Marvel T-shirt,Rs 399.00 
224,40-60 Memes T-shirt,Rs 399.00 
225,Aaniyae Pudunga Vendam T-shirt,Rs 399.00 
226,Captain's Shield - Official Marvel T-shirt,Rs 399.00 
227,Black Widow Task Master – Official Marvel T-shirt,Rs 399.00 
228,Loki BeLIEve - Official Marvel T-shirt,Rs 399.00 
229,Positivitea Yellow T-Shirt,Rs 399.00 
230,Professor Man with a plan T-Shirt,Rs 399.00 
231,Power is a State of Mind T-Shirt,Rs 399.00 
232,Ostrich Theriyuma T-shirt - Navy Blue,Rs 399.00 
233,Vaathi Coming T-shirt,Rs 399.00 
